Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,25-34,308,
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,35-44,697,
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,45-54,"1,122",
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,55-64,"1,579",
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,65-74,"1,510",
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,75-84,779,
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,85+,231,
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,Not stated,1,
9/7/2020,2/1/2020,9/6/2020,US,Obesity,Obesity,E65-E68,All ages,"6,316",
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,35-44,0,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,45-54,2,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,55-64,51,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,65-74,414,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,75-84,"1,796",
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,85+,"3,896",
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Alzheimer disease,Alzheimer disease,G30,All ages,"6,159",
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,2,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,22,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,298,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,"1,860",
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,"5,866",
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,"11,839",
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,
9/7/2020,2/1/2020,9/6/2020,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All ages,"19,887",
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,0-24,18,
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,25-34,124,
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,35-44,310,
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,45-54,987,
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,55-64,"2,260",
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,65-74,"3,874",
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,75-84,"3,951",
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,85+,"3,549",
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,Renal failure,Renal failure,N17-N19,All ages,"15,075",
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,49,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,157,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,203,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,363,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,666,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,"1,107",
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,"1,358",
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,"1,787",
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,2,
9/7/2020,2/1/2020,9/6/2020,US,"Intentional and unintentional injury, poisoning and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All ages,"5,692",
9/7/2020,2/1/2020,9/6/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,291,
9/7/2020,2/1/2020,9/6/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,777,
9/7/2020,2/1/2020,9/6/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,"1,745",
9/7/2020,2/1/2020,9/6/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,"4,642",
9/7/2020,2/1/2020,9/6/2020,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,"11,532",
